title;prize;ratings;stars;publish_date;authors
APRENDER WORD 2010 CON 100 EJERCICIOS PRACTICOS (APRENDER...CON 100 EJERCICIOS PRACTICOS);4,74;0;NA;12 marzo 2013;MEDIAactive
Obsequium: Un relato cultural, tecnologico y emocional de La Abadia del Crimen;3,63;19;4,6;29 abril 2014;Jaume Esteve y Jose Luis Sanz
PowerShell: Introduccion a PowerShell;2,99;0;NA;7 noviembre 2017;JORGE MARTINEZ
Nichos de mercado: posicionamiento SEO mediante palabras clave;0,00;10;3,1;7 diciembre 2015;Javier Cristobal
Obteniendo valor de las Retrospectivas agiles: Una caja de herramientas de Ejercicios de Retrospectivas;7,49;1;5;14 noviembre 2014;Luis Goncalves y Ben Linders
Creacion de videojuegos con Construct 2: Preparando la defensa contra los invasores extraterrestres;0,00;5;4,1;29 julio 2015;Fernando Paniagua
Promanager: PC Futbol: Droga en el quiosco;3,99;35;4,7;24 junio 2016;Jaume Esteve
Optimizacion SQL en Oracle: Una guia practica, detallada y completa sobre como implementar y explotar bases de datos Oracle de forma eficiente.;0,00;12;4,8;27 marzo 2014;Javier Morales Carreras
Fundamentos de Programacion: Para Todos los Publicos;0,00;5;3,5;13 junio 2015;Ernesto Rodriguez Arias
Enciclopedia de la Seguridad Informatica. 2a edicion (Profesional);15,72;3;3,8;15 noviembre 2017;Alvaro Gomez Vieites
Retoque Fotografico con Photoshop (Fotografia Digital);3,99;3;4,6;7 abril 2013;Estudio FotoArte
Influencers: La nueva tendencia del marketing online;6,90;1;5;23 octubre 2017;Rafaela Almeida Ramos
Sociedad Digital en Espana 2017;0,00;0;NA;5 febrero 2018;Fundacion Telefonica
Excel 2016 para Dummies;9,49;75;4,5;19 septiembre 2017;Greg Harvey y Carolina Ferre Pellicer
Manual de hacking BASICO: Manual basico para adentrarse en el mundo del hack.;0,00;2;1;6 enero 2016;task kill
HTML para novatos;2,99;4;4,7;15 diciembre 2013;Jose Maria Sepulveda Perez
Claves para abrir una tienda online y que venda: Todo lo que necesitas saber sobre e-commerce;4,99;6;3,8;25 diciembre 2014;Jose Luis Torres
Aprende HTML efectivo. Conceptos basicos para crear paginas web.;3,79;7;4,8;23 junio 2013;Juanjo Bote
Presto 2016 (Manuales Imprescindibles);16,62;3;3,2;26 noviembre 2015;Aida Machado Bueno
Introduccion al Business Intelligence (Manuales);8,54;3;2,9;12 noviembre 2012;Josep Curto Diaz
REDES NEURONALES con MATLAB;0,00;0;NA;7 octubre 2017;Cesar Perez Lopez
Curso Symfony 2 (Spanish Edition) (Guia de Maestros del Web);2,87;2;5;15 febrero 2012;Juan Ardissone y Maycol Alvarez
El arte de medir;9,49;30;4,2;1 febrero 2011;Gemma Munoz Vera y Tristan Elosegui Figueroa
101 Consejos y Estrategias de Facebook Marketing Para Tu Empresa;0,00;13;4,1;16 mayo 2016;Lasse Rouhiainen
Marketing de afiliados: Aprende a monetizar un blog y a crear una tienda online;0,00;9;3,8;6 noviembre 2015;Marta Fedriani
Facebook Ads Instant: Publicidad rentable en Facebook en 7 dias (Incluye Actualizaciones de por Vida);0,00;11;4,2;30 octubre 2016;Ivan De Benito
Curso de Hibernate con Java;0,00;0;NA;25 noviembre 2016;Antonio Martin Sierra y Ramon Egido Garcia
Como convertir tu Ocio en Negocio: Como emprender tus Negocios online y Ganar dinero en Internet (Marketing de Afiliacion no 1);3,29;20;4,5;21 octubre 2015;Marta Fedriani
APRENDER RETOQUE FOTOGRAFICO CON PHOTOSHOP CS6 CON 100 EJERCICIOS PRACTICOS (APRENDER...CON 100 EJERCICIOS PRACTICOS);7,59;4;4;10 marzo 2013;MEDIAactive
"Arduino y Node.js: Enciende una luz a un nuevo camino desde el clasico ""Hola mundo"" a una App";2,21;2;2,5;18 mayo 2015;Moncho Pena y Javier Pardal
La guia del ligue (Werevertumorro): Como salir bien librado en el complejo mundo del amor;1,89;2;1;7 octubre 2015;Gabriel Montiel
